Explaining class 0 for compound: Cc1ncsc1-c1nnc(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)n1C
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): -0.012627559608158733
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.00354580506222404
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): 0.013905557047998314
(tensor(1, device='cuda:0'),tensor(5, device='cuda:0')): -0.004823364113261248
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): -0.019810714691830444
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): -0.016865511779417683
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): 0.005849282092034098
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.00911726957866581
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.012471596270707314
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): -0.016875074232089223
(tensor(5, device='cuda:0'),tensor(1, device='cuda:0')): 0.011731183230478419
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.024579156043057968
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): -0.003012802044013385
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): 0.020241076124334727
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): -0.02147040607327668
(tensor(6, device='cuda:0'),tensor(31, device='cuda:0')): 0.006066292830292042
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): 0.026495403865213027
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): -0.006129493585164418
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): 0.001610958617306158
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.043408642619549805
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.05013304609256732
(tensor(9, device='cuda:0'),tensor(10, device='cuda:0')): 0.0905096341655611
(tensor(9, device='cuda:0'),tensor(31, device='cuda:0')): -0.006129423883076647
(tensor(10, device='cuda:0'),tensor(9, device='cuda:0')): 0.014441975218673169
(tensor(10, device='cuda:0'),tensor(11, device='cuda:0')): -0.061940779389039316
(tensor(11, device='cuda:0'),tensor(10, device='cuda:0')): 0.09397420123438736
(tensor(11, device='cuda:0'),tensor(12, device='cuda:0')): -0.02872523200252048
(tensor(12, device='cuda:0'),tensor(11, device='cuda:0')): 0.03826069718138858
(tensor(12, device='cuda:0'),tensor(13, device='cuda:0')): 0.02284783087417066
(tensor(13, device='cuda:0'),tensor(12, device='cuda:0')): 0.038352157647000854
(tensor(13, device='cuda:0'),tensor(14, device='cuda:0')): 0.05486477345103213
(tensor(14, device='cuda:0'),tensor(13, device='cuda:0')): 0.06426424628846704
(tensor(14, device='cuda:0'),tensor(15, device='cuda:0')): 0.20412414248810187
(tensor(14, device='cuda:0'),tensor(30, device='cuda:0')): 0.1056161118342008
(tensor(15, device='cuda:0'),tensor(14, device='cuda:0')): 0.013698933938574926
(tensor(15, device='cuda:0'),tensor(16, device='cuda:0')): 0.04220733798281223
(tensor(16, device='cuda:0'),tensor(15, device='cuda:0')): 0.024516228229903576
(tensor(16, device='cuda:0'),tensor(17, device='cuda:0')): 0.012911304474363285
(tensor(17, device='cuda:0'),tensor(16, device='cuda:0')): 0.07908563184100408
(tensor(17, device='cuda:0'),tensor(18, device='cuda:0')): 0.010793785018318791
(tensor(17, device='cuda:0'),tensor(19, device='cuda:0')): -0.005487511236821404
(tensor(17, device='cuda:0'),tensor(30, device='cuda:0')): 0.01607572426483596
(tensor(18, device='cuda:0'),tensor(17, device='cuda:0')): 0.023661934503524752
(tensor(18, device='cuda:0'),tensor(19, device='cuda:0')): -0.006702452108479579
(tensor(19, device='cuda:0'),tensor(17, device='cuda:0')): 0.010715737171486168
(tensor(19, device='cuda:0'),tensor(18, device='cuda:0')): 0.014431430254038417
(tensor(19, device='cuda:0'),tensor(20, device='cuda:0')): 0.002978112102693807
(tensor(20, device='cuda:0'),tensor(19, device='cuda:0')): 0.01169830037990114
(tensor(20, device='cuda:0'),tensor(21, device='cuda:0')): -0.004865022469585515
(tensor(20, device='cuda:0'),tensor(29, device='cuda:0')): 0.0003133513692358897
(tensor(21, device='cuda:0'),tensor(20, device='cuda:0')): -0.009240628960465453
(tensor(21, device='cuda:0'),tensor(22, device='cuda:0')): 0.0020485363977371255
(tensor(22, device='cuda:0'),tensor(21, device='cuda:0')): -0.000662440504915519
(tensor(22, device='cuda:0'),tensor(23, device='cuda:0')): 0.00798817636011276
(tensor(23, device='cuda:0'),tensor(22, device='cuda:0')): -0.012909930588211962
(tensor(23, device='cuda:0'),tensor(24, device='cuda:0')): -0.021300030818182814
(tensor(23, device='cuda:0'),tensor(28, device='cuda:0')): -0.008544398716109
(tensor(24, device='cuda:0'),tensor(23, device='cuda:0')): 0.05983272503446219
(tensor(24, device='cuda:0'),tensor(25, device='cuda:0')): -0.024682454827583973
(tensor(24, device='cuda:0'),tensor(26, device='cuda:0')): -0.0027352987184220533
(tensor(24, device='cuda:0'),tensor(27, device='cuda:0')): -0.01232300773317539
(tensor(25, device='cuda:0'),tensor(24, device='cuda:0')): 0.03461987691332529
(tensor(26, device='cuda:0'),tensor(24, device='cuda:0')): 0.023058780863492716
(tensor(27, device='cuda:0'),tensor(24, device='cuda:0')): 0.013810159909690041
(tensor(28, device='cuda:0'),tensor(23, device='cuda:0')): 0.00511901841799407
(tensor(28, device='cuda:0'),tensor(29, device='cuda:0')): 0.0006967142534848213
(tensor(29, device='cuda:0'),tensor(20, device='cuda:0')): -0.005801131448938401
(tensor(29, device='cuda:0'),tensor(28, device='cuda:0')): 0.0010603535988016732
(tensor(30, device='cuda:0'),tensor(14, device='cuda:0')): 0.07875367643826064
(tensor(30, device='cuda:0'),tensor(17, device='cuda:0')): 0.03970457489210447
(tensor(31, device='cuda:0'),tensor(6, device='cuda:0')): -0.009701862871249906
(tensor(31, device='cuda:0'),tensor(9, device='cuda:0')): 0.012667490071164012
(tensor(31, device='cuda:0'),tensor(32, device='cuda:0')): 0.03234859354348735
(tensor(32, device='cuda:0'),tensor(31, device='cuda:0')): 0.03356028558978331

Sum of Shapley values: 1.1091003864170197
