Explaining class 0 for compound: C#Cc1ccc2sc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2c1
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): 0.026456591764423703
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.0005731486935521598
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): 0.009333351191818544
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): 0.004131933579019661
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): 0.03881466811627268
(tensor(2, device='cuda:0'),tensor(31, device='cuda:0')): 0.001269999260863293
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): -0.001449936440926598
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.004306019927760495
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.009323089604372625
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): 0.021114359020563023
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.006808575549578544
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): 0.005255352529542723
(tensor(5, device='cuda:0'),tensor(30, device='cuda:0')): -0.0030265080516251896
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): -0.011615223350863364
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): -0.01472021497070536
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): -0.00062341798900999
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): 0.0068315961915008105
(tensor(7, device='cuda:0'),tensor(29, device='cuda:0')): -0.013966462848401008
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): -0.002050886263136489
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.02593152892832617
(tensor(8, device='cuda:0'),tensor(10, device='cuda:0')): 0.05617901332880259
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.006618953659816739
(tensor(10, device='cuda:0'),tensor(8, device='cuda:0')): 0.007276361593924686
(tensor(10, device='cuda:0'),tensor(11, device='cuda:0')): 0.0003343959988254918
(tensor(11, device='cuda:0'),tensor(10, device='cuda:0')): 0.04325394082602827
(tensor(11, device='cuda:0'),tensor(12, device='cuda:0')): -0.006702183289822829
(tensor(12, device='cuda:0'),tensor(11, device='cuda:0')): 0.0428014241440457
(tensor(12, device='cuda:0'),tensor(13, device='cuda:0')): -0.0019439465216800583
(tensor(13, device='cuda:0'),tensor(12, device='cuda:0')): 0.016462215695558058
(tensor(13, device='cuda:0'),tensor(14, device='cuda:0')): 0.04598886082367248
(tensor(14, device='cuda:0'),tensor(13, device='cuda:0')): 0.05620393029021573
(tensor(14, device='cuda:0'),tensor(15, device='cuda:0')): 0.0608276253852569
(tensor(15, device='cuda:0'),tensor(14, device='cuda:0')): 0.08704997957428884
(tensor(15, device='cuda:0'),tensor(16, device='cuda:0')): 0.15332850574550727
(tensor(15, device='cuda:0'),tensor(28, device='cuda:0')): 0.0796664742785736
(tensor(16, device='cuda:0'),tensor(15, device='cuda:0')): 0.051102110947063496
(tensor(16, device='cuda:0'),tensor(17, device='cuda:0')): 0.044512555903593806
(tensor(17, device='cuda:0'),tensor(16, device='cuda:0')): 0.0028222061577214273
(tensor(17, device='cuda:0'),tensor(18, device='cuda:0')): 0.011217745869902014
(tensor(18, device='cuda:0'),tensor(17, device='cuda:0')): 0.03889399811400035
(tensor(18, device='cuda:0'),tensor(19, device='cuda:0')): 0.0015000932542548267
(tensor(18, device='cuda:0'),tensor(27, device='cuda:0')): 0.05926097947222023
(tensor(19, device='cuda:0'),tensor(18, device='cuda:0')): 0.0015445576141335786
(tensor(19, device='cuda:0'),tensor(20, device='cuda:0')): -0.004289578677206907
(tensor(19, device='cuda:0'),tensor(24, device='cuda:0')): -1.429761684117797e-05
(tensor(20, device='cuda:0'),tensor(19, device='cuda:0')): 0.0088617333491469
(tensor(20, device='cuda:0'),tensor(21, device='cuda:0')): -0.003690816363956081
(tensor(21, device='cuda:0'),tensor(20, device='cuda:0')): -0.00011715196725762524
(tensor(21, device='cuda:0'),tensor(22, device='cuda:0')): 0.00035875707750510397
(tensor(22, device='cuda:0'),tensor(21, device='cuda:0')): -7.33476480536127e-05
(tensor(22, device='cuda:0'),tensor(23, device='cuda:0')): 0.005987654286395681
(tensor(23, device='cuda:0'),tensor(22, device='cuda:0')): -0.0027322621518925333
(tensor(23, device='cuda:0'),tensor(24, device='cuda:0')): -0.002390297817908063
(tensor(24, device='cuda:0'),tensor(19, device='cuda:0')): 0.004057927029795116
(tensor(24, device='cuda:0'),tensor(23, device='cuda:0')): 0.003167244111737298
(tensor(24, device='cuda:0'),tensor(25, device='cuda:0')): 0.0739165001324838
(tensor(25, device='cuda:0'),tensor(24, device='cuda:0')): -0.018733130635848295
(tensor(25, device='cuda:0'),tensor(26, device='cuda:0')): -0.04517083719994536
(tensor(26, device='cuda:0'),tensor(25, device='cuda:0')): 0.043148920011508364
(tensor(27, device='cuda:0'),tensor(18, device='cuda:0')): 0.03701424177759089
(tensor(27, device='cuda:0'),tensor(28, device='cuda:0')): 0.005699518113980042
(tensor(28, device='cuda:0'),tensor(15, device='cuda:0')): 0.056100123880290405
(tensor(28, device='cuda:0'),tensor(27, device='cuda:0')): 0.03091919557578845
(tensor(29, device='cuda:0'),tensor(7, device='cuda:0')): 0.0202148063382922
(tensor(29, device='cuda:0'),tensor(30, device='cuda:0')): 0.0015343057953251347
(tensor(30, device='cuda:0'),tensor(5, device='cuda:0')): 0.02542072335565168
(tensor(30, device='cuda:0'),tensor(29, device='cuda:0')): 0.0023002032474179475
(tensor(30, device='cuda:0'),tensor(31, device='cuda:0')): 0.0035618887821293192
(tensor(31, device='cuda:0'),tensor(2, device='cuda:0')): 0.011753704911520882
(tensor(31, device='cuda:0'),tensor(30, device='cuda:0')): 0.011239120022075834

Sum of Shapley values: 1.2059118271130722
