Explaining class 0 for compound: C#Cc1ccc2sc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2c1
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): 0.010428370738071423
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.001045894599593567
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): -0.009750560660829301
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): 0.03459711061488886
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): 0.028089139276992404
(tensor(2, device='cuda:0'),tensor(31, device='cuda:0')): -0.0007243065488055392
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): 0.0107790931002779
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.013686026284480521
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.00904177831080733
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): 0.003114430300297923
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.015719735775884015
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): 0.043221020824319334
(tensor(5, device='cuda:0'),tensor(30, device='cuda:0')): -0.0027894376556778107
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): -0.003071273026558681
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): 0.0037603368435894665
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): 0.012574808367387957
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): 0.0196440094396145
(tensor(7, device='cuda:0'),tensor(29, device='cuda:0')): -0.014889183476739303
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): 0.00394513219695314
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.004206070514446527
(tensor(8, device='cuda:0'),tensor(10, device='cuda:0')): 0.01692463245520519
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.005477221356831086
(tensor(10, device='cuda:0'),tensor(8, device='cuda:0')): 0.01987338139765147
(tensor(10, device='cuda:0'),tensor(11, device='cuda:0')): 0.019013750384053122
(tensor(11, device='cuda:0'),tensor(10, device='cuda:0')): 0.03865984896838238
(tensor(11, device='cuda:0'),tensor(12, device='cuda:0')): 0.01601646396161103
(tensor(12, device='cuda:0'),tensor(11, device='cuda:0')): 0.02805354933370036
(tensor(12, device='cuda:0'),tensor(13, device='cuda:0')): -0.026257503614029155
(tensor(13, device='cuda:0'),tensor(12, device='cuda:0')): 0.0204921024292669
(tensor(13, device='cuda:0'),tensor(14, device='cuda:0')): -0.0031005703514177326
(tensor(14, device='cuda:0'),tensor(13, device='cuda:0')): 0.025939539655175366
(tensor(14, device='cuda:0'),tensor(15, device='cuda:0')): 0.05462550360657706
(tensor(15, device='cuda:0'),tensor(14, device='cuda:0')): 0.08835314977811852
(tensor(15, device='cuda:0'),tensor(16, device='cuda:0')): 0.1390841896669779
(tensor(15, device='cuda:0'),tensor(28, device='cuda:0')): 0.1465135993751699
(tensor(16, device='cuda:0'),tensor(15, device='cuda:0')): 0.004468704681411372
(tensor(16, device='cuda:0'),tensor(17, device='cuda:0')): 0.03248067183275651
(tensor(17, device='cuda:0'),tensor(16, device='cuda:0')): -0.005545624826052925
(tensor(17, device='cuda:0'),tensor(18, device='cuda:0')): 0.005534953749417102
(tensor(18, device='cuda:0'),tensor(17, device='cuda:0')): 0.07463496995520631
(tensor(18, device='cuda:0'),tensor(19, device='cuda:0')): 0.004826404024093985
(tensor(18, device='cuda:0'),tensor(27, device='cuda:0')): 0.03890834903566345
(tensor(19, device='cuda:0'),tensor(18, device='cuda:0')): -0.01438156375859214
(tensor(19, device='cuda:0'),tensor(20, device='cuda:0')): -0.007222976228143138
(tensor(19, device='cuda:0'),tensor(24, device='cuda:0')): 0.0024354133858745437
(tensor(20, device='cuda:0'),tensor(19, device='cuda:0')): 0.01313799325872555
(tensor(20, device='cuda:0'),tensor(21, device='cuda:0')): -0.00754723214816336
(tensor(21, device='cuda:0'),tensor(20, device='cuda:0')): 0.00794598302987811
(tensor(21, device='cuda:0'),tensor(22, device='cuda:0')): -0.008021083236549981
(tensor(22, device='cuda:0'),tensor(21, device='cuda:0')): 1.4734236043117549e-05
(tensor(22, device='cuda:0'),tensor(23, device='cuda:0')): 0.003460769172581301
(tensor(23, device='cuda:0'),tensor(22, device='cuda:0')): -0.004464640097866043
(tensor(23, device='cuda:0'),tensor(24, device='cuda:0')): 0.008996734250895616
(tensor(24, device='cuda:0'),tensor(19, device='cuda:0')): 0.00733279062862032
(tensor(24, device='cuda:0'),tensor(23, device='cuda:0')): -0.005900775579390629
(tensor(24, device='cuda:0'),tensor(25, device='cuda:0')): 0.052125264269437324
(tensor(25, device='cuda:0'),tensor(24, device='cuda:0')): -0.03277858444083425
(tensor(25, device='cuda:0'),tensor(26, device='cuda:0')): -0.020818703022697588
(tensor(26, device='cuda:0'),tensor(25, device='cuda:0')): 0.07019840955831849
(tensor(27, device='cuda:0'),tensor(18, device='cuda:0')): 0.022345522621850585
(tensor(27, device='cuda:0'),tensor(28, device='cuda:0')): 0.009145207226428477
(tensor(28, device='cuda:0'),tensor(15, device='cuda:0')): 0.003821298206806964
(tensor(28, device='cuda:0'),tensor(27, device='cuda:0')): 0.011016080664641405
(tensor(29, device='cuda:0'),tensor(7, device='cuda:0')): 0.02141264272248362
(tensor(29, device='cuda:0'),tensor(30, device='cuda:0')): 0.008317567435014361
(tensor(30, device='cuda:0'),tensor(5, device='cuda:0')): 0.007430888013450281
(tensor(30, device='cuda:0'),tensor(29, device='cuda:0')): 0.0010549773406730869
(tensor(30, device='cuda:0'),tensor(31, device='cuda:0')): 0.006294255356813717
(tensor(31, device='cuda:0'),tensor(2, device='cuda:0')): 0.037460028263425635
(tensor(31, device='cuda:0'),tensor(30, device='cuda:0')): 0.034218939986578725

Sum of Shapley values: 1.123505635256604
