entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name
A5PKW4	PSD1_HUMAN	PH and SEC7 domain-containing protein 1 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Exchange factor for ARF6) (Exchange factor for ARF6 A) (Pleckstrin homology and SEC7 domain-containing protein 1)	PSD family	Homo sapiens (Human)		PSD	guanyl-nucleotide exchange factor activity [GO:0005085]; phospholipid binding [GO:0005543]	PH and SEC7 domain-containing protein 1
O00767	SCD_HUMAN	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	Fatty acid desaturase type 1 family	Homo sapiens (Human)	1.14.19.1	SCD	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; palmitoyl-CoA 9-desaturase activity [GO:0032896]; stearoyl-CoA 9-desaturase activity [GO:0004768]	Stearoyl-CoA desaturase
A6NNY8	UBP27_HUMAN	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	Peptidase C19 family	Homo sapiens (Human)	3.4.19.12	USP27X	Lys48-specific deubiquitinase activity [GO:1990380]; Lys63-specific deubiquitinase activity [GO:0061578]; thiol-dependent deubiquitinase [GO:0004843]	Ubiquitin carboxyl-terminal hydrolase 27
O00408	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)	Cyclic nucleotide phosphodiesterase family, PDE2 subfamily	Homo sapiens (Human)	3.1.4.17	PDE2A	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; cGMP-stimulated cyclic-nucleotide phosphodiesterase activity [GO:0004118]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; phosphate ion binding [GO:0042301]; protein homodimerization activity [GO:0042803]; TPR domain binding [GO:0030911]; zinc ion binding [GO:0008270]	cGMP-dependent 3',5'-cyclic phosphodiesterase
O00337	S28A1_HUMAN	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	Concentrative nucleoside transporter (CNT) (TC 2.A.41) family	Homo sapiens (Human)		SLC28A1	azole transmembrane transporter activity [GO:1901474]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside:sodium symporter activity [GO:0005415]; nucleoside transmembrane transporter activity [GO:0005337]; purine nucleobase transmembrane transporter activity [GO:0005345]; pyrimidine- and adenine-specific:sodium symporter activity [GO:0015389]; symporter activity [GO:0015293]; uridine transmembrane transporter activity [GO:0015213]	Sodium/nucleoside cotransporter 1
O00444	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily	Homo sapiens (Human)	2.7.11.21	PLK4	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase PLK4
O02853	PTGDS_BOVIN	Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2)	Calycin superfamily, Lipocalin family	Bos taurus (Bovine)	5.3.99.2	PTGDS	prostaglandin-D synthase activity [GO:0004667]; retinoid binding [GO:0005501]; small molecule binding [GO:0036094]	Prostaglandin-H2 D-isomerase
O00206	TLR4_HUMAN	Toll-like receptor 4 (EC 3.2.2.6) (hToll) (CD antigen CD284)	Toll-like receptor family	Homo sapiens (Human)	3.2.2.6	TLR4	amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; lipopolysaccharide immune receptor activity [GO:0001875]; NAD(P)+ nucleosidase activity [GO:0050135]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; protein heterodimerization activity [GO:0046982]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]; transmembrane signaling receptor activity [GO:0004888]	Toll-like receptor 4
A0AVT1	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	Ubiquitin-activating E1 family	Homo sapiens (Human)	6.2.1.45	UBA6	ATP binding [GO:0005524]; FAT10 activating enzyme activity [GO:0019780]; ubiquitin activating enzyme activity [GO:0004839]	Ubiquitin-like modifier-activating enzyme 6
A3RGC1	VDR_PIG	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Nuclear hormone receptor family, NR1 subfamily	Sus scrofa (Pig)		VDR	nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	Vitamin D3 receptor
