Explaining class 0 for compound: Cc1ncsc1-c1nnc(SCCCN2CCC3(CC3c3ccc(C(F)(F)F)cc3)C2)n1C
Shapley values for edges:
(tensor(0, device='cuda:0'),tensor(1, device='cuda:0')): -0.0020879331828785514
(tensor(1, device='cuda:0'),tensor(0, device='cuda:0')): -0.010580150289779003
(tensor(1, device='cuda:0'),tensor(2, device='cuda:0')): 0.014373629582307161
(tensor(1, device='cuda:0'),tensor(5, device='cuda:0')): -0.025434600413251473
(tensor(2, device='cuda:0'),tensor(1, device='cuda:0')): -0.027095184671380723
(tensor(2, device='cuda:0'),tensor(3, device='cuda:0')): -0.02169961607366788
(tensor(3, device='cuda:0'),tensor(2, device='cuda:0')): -0.015847894775989847
(tensor(3, device='cuda:0'),tensor(4, device='cuda:0')): 0.010403734682274943
(tensor(4, device='cuda:0'),tensor(3, device='cuda:0')): -0.00970505944389924
(tensor(4, device='cuda:0'),tensor(5, device='cuda:0')): -0.03785983889991998
(tensor(5, device='cuda:0'),tensor(1, device='cuda:0')): 0.006577928728530525
(tensor(5, device='cuda:0'),tensor(4, device='cuda:0')): 0.03323308161746707
(tensor(5, device='cuda:0'),tensor(6, device='cuda:0')): -0.0026954428787176366
(tensor(6, device='cuda:0'),tensor(5, device='cuda:0')): 0.01779068199545324
(tensor(6, device='cuda:0'),tensor(7, device='cuda:0')): -0.05926232915711736
(tensor(6, device='cuda:0'),tensor(31, device='cuda:0')): -0.005605280721171865
(tensor(7, device='cuda:0'),tensor(6, device='cuda:0')): 0.0046512732088817175
(tensor(7, device='cuda:0'),tensor(8, device='cuda:0')): -0.017326803469221483
(tensor(8, device='cuda:0'),tensor(7, device='cuda:0')): 0.015015511155259807
(tensor(8, device='cuda:0'),tensor(9, device='cuda:0')): 0.050467888110316925
(tensor(9, device='cuda:0'),tensor(8, device='cuda:0')): -0.07311237682514755
(tensor(9, device='cuda:0'),tensor(10, device='cuda:0')): 0.032210935350949814
(tensor(9, device='cuda:0'),tensor(31, device='cuda:0')): 0.007913298909801582
(tensor(10, device='cuda:0'),tensor(9, device='cuda:0')): 0.006248980318550403
(tensor(10, device='cuda:0'),tensor(11, device='cuda:0')): -0.03121062987803783
(tensor(11, device='cuda:0'),tensor(10, device='cuda:0')): 0.0997707153877251
(tensor(11, device='cuda:0'),tensor(12, device='cuda:0')): -0.013509085573637034
(tensor(12, device='cuda:0'),tensor(11, device='cuda:0')): 0.042602910342805195
(tensor(12, device='cuda:0'),tensor(13, device='cuda:0')): 0.028072801611683715
(tensor(13, device='cuda:0'),tensor(12, device='cuda:0')): 0.03482472030538626
(tensor(13, device='cuda:0'),tensor(14, device='cuda:0')): 0.05418033078029152
(tensor(14, device='cuda:0'),tensor(13, device='cuda:0')): 0.08496786338462052
(tensor(14, device='cuda:0'),tensor(15, device='cuda:0')): 0.15788031520684206
(tensor(14, device='cuda:0'),tensor(30, device='cuda:0')): 0.12581619757272883
(tensor(15, device='cuda:0'),tensor(14, device='cuda:0')): 0.015454724741112678
(tensor(15, device='cuda:0'),tensor(16, device='cuda:0')): 0.04485329198625578
(tensor(16, device='cuda:0'),tensor(15, device='cuda:0')): 0.006371370475960325
(tensor(16, device='cuda:0'),tensor(17, device='cuda:0')): 0.015971779759047372
(tensor(17, device='cuda:0'),tensor(16, device='cuda:0')): 0.09341340142402715
(tensor(17, device='cuda:0'),tensor(18, device='cuda:0')): -0.008031258324014485
(tensor(17, device='cuda:0'),tensor(19, device='cuda:0')): -0.029415896767879337
(tensor(17, device='cuda:0'),tensor(30, device='cuda:0')): 0.018279760333302572
(tensor(18, device='cuda:0'),tensor(17, device='cuda:0')): 0.03169667341426602
(tensor(18, device='cuda:0'),tensor(19, device='cuda:0')): 0.007391708561131405
(tensor(19, device='cuda:0'),tensor(17, device='cuda:0')): 0.038866309912154055
(tensor(19, device='cuda:0'),tensor(18, device='cuda:0')): 0.04089880918545125
(tensor(19, device='cuda:0'),tensor(20, device='cuda:0')): -0.018817139776911178
(tensor(20, device='cuda:0'),tensor(19, device='cuda:0')): 0.006326746642188117
(tensor(20, device='cuda:0'),tensor(21, device='cuda:0')): 7.760182792542841e-05
(tensor(20, device='cuda:0'),tensor(29, device='cuda:0')): 0.008178327508185774
(tensor(21, device='cuda:0'),tensor(20, device='cuda:0')): -0.022019596933946447
(tensor(21, device='cuda:0'),tensor(22, device='cuda:0')): 0.0015712729289350524
(tensor(22, device='cuda:0'),tensor(21, device='cuda:0')): 9.048761490302348e-05
(tensor(22, device='cuda:0'),tensor(23, device='cuda:0')): 0.04049867097658189
(tensor(23, device='cuda:0'),tensor(22, device='cuda:0')): -0.02131329557127488
(tensor(23, device='cuda:0'),tensor(24, device='cuda:0')): 0.0020787952524195822
(tensor(23, device='cuda:0'),tensor(28, device='cuda:0')): -0.003608033919528859
(tensor(24, device='cuda:0'),tensor(23, device='cuda:0')): 0.0336244972333857
(tensor(24, device='cuda:0'),tensor(25, device='cuda:0')): -0.009186869072094874
(tensor(24, device='cuda:0'),tensor(26, device='cuda:0')): -0.02278662329743733
(tensor(24, device='cuda:0'),tensor(27, device='cuda:0')): -0.008279540457037075
(tensor(25, device='cuda:0'),tensor(24, device='cuda:0')): 0.005210313435131116
(tensor(26, device='cuda:0'),tensor(24, device='cuda:0')): 0.007970281300134555
(tensor(27, device='cuda:0'),tensor(24, device='cuda:0')): 0.009845461809556616
(tensor(28, device='cuda:0'),tensor(23, device='cuda:0')): 0.037299787502200095
(tensor(28, device='cuda:0'),tensor(29, device='cuda:0')): -0.005226044571145391
(tensor(29, device='cuda:0'),tensor(20, device='cuda:0')): -0.014980726718423532
(tensor(29, device='cuda:0'),tensor(28, device='cuda:0')): -0.006794220124155095
(tensor(30, device='cuda:0'),tensor(14, device='cuda:0')): 0.0886710770310396
(tensor(30, device='cuda:0'),tensor(17, device='cuda:0')): 0.035134439638245134
(tensor(31, device='cuda:0'),tensor(6, device='cuda:0')): -0.010204900653044404
(tensor(31, device='cuda:0'),tensor(9, device='cuda:0')): 0.010440936412038715
(tensor(31, device='cuda:0'),tensor(32, device='cuda:0')): 0.0698083314265589
(tensor(32, device='cuda:0'),tensor(31, device='cuda:0')): 0.049015590571733325

Sum of Shapley values: 1.0123468747150375
